,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
1528,A01C ★Touch & Warmth Room upto 4★ 5 Min to BTS ARI,Phaya Thai,13.78253,100.54116,Entire home/apt,600,28,194,2.28,3,5,Long-Term
1537,"H. Whole house 4-bedroom, PEACE, MRT Tiwanon",Bang Sue,13.82845,100.52916,Entire home/apt,1809,1,163,1.98,34,35,Short-Term
1538,Lamurr Sukhumvit41 near BTS @ center of Bangkok 3,Vadhana,13.72882,100.57318,Shared room,380,2,153,1.88,2,7,Short-Term
1579,Room 2 - Comfy 2 BRs for 4 people near BTS Ari,Phaya Thai,13.77551,100.54438,Entire home/apt,2100,1,235,2.87,11,13,Short-Term
1580,"203 Peaceful&Relaxing stay, BTS Ari",Phaya Thai,13.77551,100.54438,Entire home/apt,1050,1,171,2.1,11,9,Short-Term
1625,Comfy accom. 1 (BTS Saphan Khwai),Phaya Thai,13.79021,100.54793,Entire home/apt,850,1,197,2.35,89,13,Short-Term
1630,Comfy accom. 2 (BTS Saphan Khwai),Phaya Thai,13.78862,100.5501,Entire home/apt,850,1,261,3.11,89,6,Short-Term
1666,Big Apt near Khoasan/Grand Palace Up to 6 per.#114,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,899,1,181,2.19,10,13,Short-Term
1673,near DMK: Don Mueang International Airport,Don Mueang,13.88852,100.59296,Private room,911,1,451,5.7,5,3,Short-Term
1681,๑City Centre close to BTS (Can leave Luggage),Bang Rak,13.72368,100.52423,Entire home/apt,2954,1,120,1.97,4,23,Short-Term
1706,Cosy room with 3 mins walk from MRT,Din Daeng,13.78038,100.57348,Entire home/apt,699,2,149,1.8,1,9,Short-Term
1720,Parkview CITY CENTER! Large room + Balcony,Ratchathewi,13.75993,100.54533,Hotel room,1507,1,195,2.35,11,1,Short-Term
1745,Air Raid Shelter 2,Phra Nakhon,13.7541,100.50333,Private room,770,1,134,1.71,3,0,Short-Term
1750,Quiet&Natural Thai style poolside villa Onnut,Suanluang,13.71955,100.62205,Entire home/apt,2147,2,233,2.96,3,14,Short-Term
1780,Parkview BKK/Large room/ Garden view 4F,Ratchathewi,13.75811,100.54363,Hotel room,1497,1,199,2.38,11,1,Short-Term
1803,"BaanYok, room in shophouse in Chinatown",Pom Prap Sattru Phai,13.73897,100.51488,Private room,1300,2,220,2.68,5,12,Short-Term
1808,"BaanYok, duplex in shophouse, Soi Nana, Chinatown",Pom Prap Sattru Phai,13.74036,100.51359,Entire home/apt,2300,2,231,2.83,5,23,Short-Term
1816,Comfy accom. 7 (BTS Saphan khwai),Phaya Thai,13.78984,100.55002,Hotel room,850,1,140,1.69,89,0,Short-Term
1818,Cozy soi Silom 3 condo. #4(BTS Saladaeng&MRT),Bang Rak,13.72657,100.53011,Entire home/apt,1874,16,175,2.11,89,12,Short-Term
1823,1 BR APT + 1 LIVING RM @ SKYWALK CONDO (24th),Vadhana,13.71617,100.59185,Entire home/apt,4321,1,257,3.14,1,0,Short-Term
1831,"Thong Lo BTS City Center - Foodie, Hip & Trendy",Khlong Toei,13.72262,100.57961,Entire home/apt,1189,2,157,1.92,1,5,Short-Term
1842,Five-Star Resort-like Condo in BKK中文服务,Huai Khwang,13.76044,100.56944,Entire home/apt,2885,4,322,3.93,21,19,Short-Term
1851,Parkview/Large room/Comfy/Modern,Ratchathewi,13.75769,100.54419,Hotel room,1481,1,196,2.43,11,3,Short-Term
1867,2BR Boutique: Soi 13|10 mins from BTS Nana station,Vadhana,13.74321,100.55691,Entire home/apt,2455,1,147,2.07,32,15,Short-Term
1900,"✻✻Easy, Fun, Comfort✻Quiet Studio Bkk Center✢MRT✻✻",Sathon,13.72062,100.54707,Entire home/apt,651,1,139,1.71,37,5,Short-Term
1901,✾Heavenly Bed With Cool View✢MRT✢Street food✾,Sathon,13.72062,100.54707,Entire home/apt,721,1,133,1.73,37,9,Short-Term
1943,Beautiful one bathroom Apartment first floor 7-11,Din Daeng,13.78294,100.57354,Entire home/apt,960,1,257,3.2,6,0,Short-Term
1965,Near Lumpini MRT & Central Park & Silom & Siam.,Sathon,13.71861,100.54855,Entire home/apt,797,2,144,1.82,2,21,Short-Term
1980,1 bed in Capsule 16 Bed Mixed Dorm,Ratchathewi,13.75432,100.5332,Hotel room,457,1,150,1.84,8,79,Short-Term
2043,Simply Loft style 550 m. from subway,Parthum Wan,13.73963,100.51972,Entire home/apt,1448,2,151,1.91,1,5,Short-Term
2052,CBD 1minBTS 215SQM Amazing Complex FREE WIFI+POOL,Bang Rak,13.7248,100.53024,Entire home/apt,3983,1,236,2.94,12,12,Short-Term
2060,6mins to subway. BIG private room B in townhouse!,Chatu Chak,13.80415,100.56751,Private room,639,2,165,2.06,2,2,Short-Term
2076,CBD SPACIOUS 3BR SUITE 1MinBTS FreeWIFI 215 sqm,Bang Rak,13.72549,100.53081,Entire home/apt,3983,1,126,2.14,12,13,Short-Term
2111,"Surawong place, BTS Chong NonSi,MRT Samyan Working",Bang Rak,13.7299,100.5256,Entire home/apt,1300,1,222,3.31,15,50,Short-Term
2142,2@WOW!! Just 1min walk to BTS OnNut,Vadhana,13.70558,100.60315,Entire home/apt,1039,1,236,3.01,3,1,Short-Term
2155,Big Suite near Khaosan/Downtown Up to 6 Per. #128,Pom Prap Sattru Phai,13.75824,100.50818,Entire home/apt,977,1,308,3.95,10,43,Short-Term
2167,20% OFF Vanilla Patio Bangkok Free Wi-Fi & Water,Vadhana,13.71534,100.59184,Entire home/apt,1364,30,302,3.86,36,7,Long-Term
2187,Fahsai Homestay Wooden Thai stlye,Yan na wa,13.67757,100.53552,Private room,990,2,192,2.49,5,0,Short-Term
2198,Family Friendly Condo with Baby amenities提供婴儿床,Huai Khwang,13.76021,100.56938,Entire home/apt,2132,28,234,3.04,21,4,Long-Term
2206,"(A)5pp, 7-11, Thonglo,Sukhumvit,BTS",Khlong Toei,13.72533,100.57656,Entire home/apt,850,90,169,2.23,39,0,Long-Term
2224,Lovely Resort-like Condo in BKK中文服务,Huai Khwang,13.76044,100.56944,Entire home/apt,2239,28,266,3.43,21,2,Long-Term
2237,The Mustang Nero/No.5 The Flamingo,Khlong Toei,13.71148,100.5925,Hotel room,2329,1,365,4.67,10,8,Short-Term
2238,The Mustang Nero/No.6 The Pelican,Khlong Toei,13.71155,100.592,Hotel room,2329,1,261,3.35,10,4,Short-Term
2239,"Corner & City View ※ Sukhumvit 11, Fiber, Netflix",Vadhana,13.74689,100.55642,Entire home/apt,3211,1,174,2.23,23,12,Short-Term
2242,Scenic Top BKK 2BR IDEO Verve living @ BTS Onnut,Vadhana,13.70558,100.6012,Entire home/apt,899,16,134,1.84,22,1,Short-Term
2247,Benviar - Four Bedroom Suite (300 Sqm) @Chitlom,Parthum Wan,13.74222,100.54396,Entire home/apt,22536,1,123,1.68,7,43,Short-Term
2270,"Fahsai Homestay Cozy Near BRT, DIY Coffee!!!",Yan na wa,13.67762,100.53576,Private room,1020,2,267,3.57,5,9,Short-Term
2278,VM1hostel,Phaya Thai,13.77033,100.53773,Shared room,450,1,139,1.78,1,0,Short-Term
2280,"Neveu:The Library, 3 bedrooms Apt@MRT Sutthisan",Huai Khwang,13.79007,100.57495,Entire home/apt,5162,1,205,2.64,9,16,Short-Term
2281,Private Cozy Room (Free Breakfast) 20 mins to DMK,Chatu Chak,13.80137,100.57047,Private room,849,1,348,4.53,3,10,Short-Term
2286,PANORAMIC VIEW /QUIET&SAVE /LOCAL FOOD /WIFI 150MB,Huai Khwang,13.75263,100.5744,Entire home/apt,1757,1,173,2.24,1,26,Short-Term
2299,"Fahsai Homestay Cozy Wooden Antique House, BRT",Yan na wa,13.67698,100.53703,Private room,990,2,208,2.69,5,3,Short-Term
2336,Fahsai Homestay  Wooden Thai style with DIY Coffee,Yan na wa,13.67678,100.53534,Private room,990,2,311,4.1,5,24,Short-Term
2357,Bai Pho: Thai Folk with BTS access,Thon buri,13.72148,100.48109,Private room,801,1,206,2.8,4,8,Short-Term
2398,Renovated Private 4 BR Townhouse @ BTS ONNUT,Khlong Toei,13.70872,100.5947,Entire home/apt,4500,2,243,3.34,5,47,Short-Term
2431,"Neveu:The Duplex, 4 bedrooms Apt@MRT Sutthisan",Huai Khwang,13.79062,100.57495,Entire home/apt,6882,1,213,2.86,9,20,Short-Term
2455,"B3. PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Phaya Thai,13.78966,100.55482,Entire home/apt,1394,1,163,2.2,34,47,Short-Term
2464,"B2. PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Phaya Thai,13.79318,100.55499,Entire home/apt,1523,1,182,2.48,34,37,Short-Term
2468,Private Cozy Room•750m to MRT for Cat Lovers,Chatu Chak,13.81114,100.57355,Private room,1027,2,128,1.73,13,20,Short-Term
2475,antique colonial Luang Prasit Canal Home Nr BTS,Thon buri,13.72439,100.48425,Entire home/apt,6000,1,166,2.25,7,34,Short-Term
