,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay,popularity
11874,Cozy1 Living in Bangkok 60m to MRT near chatuchank,Bang Sue,13.80888,100.52868,Entire home/apt,984,3,19,1.33,3,14,Short-Term,not_popular
11875,逛街方便-曼谷市中心Asok站旁※近T21商场※无边泳池※韩国城※可做饭-182,Khlong Toei,13.73575,100.55722,Entire home/apt,3500,1,8,1.01,48,8,Short-Term,not_popular
11876,Bright&Large 1BR♥Outdoor Pool+sunbath/3m-BTS Silom,Bang Rak,13.72448,100.53073,Entire home/apt,1549,30,4,0.36,37,4,Long-Term,not_popular
11877,1 Bedroom 20 sqm Sukhumvit 33,Khlong Toei,13.73249,100.566,Private room,7428,1,2,0.14,9,1,Short-Term,not_popular
11878,WanderWonderDuplex,Bang Na,13.68228,100.61099,Private room,1490,1,5,0.39,4,4,Short-Term,not_popular
11879,luxury room in tiny price at Wong Wean Yai Bangkok,Thon buri,13.72264,100.4904,Private room,1100,1,2,0.16,10,1,Short-Term,not_popular
11880,"Timeless Escape Samyan near Silom, Siam, MRT/BTS",Bang Rak,13.73307,100.52805,Entire home/apt,5286,2,28,1.61,1,25,Short-Term,not_popular
11881,Family room near Grand Palace,Phra Nakhon,13.74632,100.49632,Entire home/apt,1000,1,32,5.82,2,32,Short-Term,popular
11882,Luxury One Bedroom - Digital Nomad Friendly Condo,Bang Rak,13.72416,100.52118,Entire home/apt,2150,25,20,1.49,1,17,Short-Term,not_popular
11883,Bangkok 5 bedroom 5 bathroom BTS Phrom Phong,Vadhana,13.73641,100.57277,Entire home/apt,4870,1,15,1.12,22,14,Short-Term,not_popular
11884,"XTcondo，MRT50m,onebedroom,luxury apartments高档公寓一房",Din Daeng,13.78104,100.57363,Entire home/apt,920,28,1,0.33,17,1,Long-Term,not_popular
11885,"🎗𝘾𝙝𝙚𝙬𝙖𝙩𝙝𝙖𝙞 𝙍𝙖𝙢𝙠𝙝𝙖𝙢𝙝𝙖𝙚𝙣𝙜
By KhunGrape",Bang Kapi,13.76082,100.63366,Private room,429443,1,0,0.0,1,0,Short-Term,not_popular
11886,MRT Subway Wat Mangkon COZY condominium#6,Samphanthawong,13.74137,100.50927,Entire home/apt,969,1,5,0.4,89,3,Short-Term,not_popular
11887,MRT subway Wat Mangkon COZY condominium#7,Pom Prap Sattru Phai,13.74329,100.50915,Entire home/apt,969,1,8,0.61,89,7,Short-Term,not_popular
